price,type,size,bathroom_count,room_count,location,category,log_price
300000.0,À Vendre,92.0,1.0,2.0,tunis,Appartements,5.477121254719663
4000.0,À Louer,500.0,3.0,4.0,tunis,Maisons et Villas,3.6020599913279625
1000.0,À Louer,90.0,1.0,3.0,tunis,Bureaux et Plateaux,3.0
335000.0,À Vendre,114.0,2.0,5.0,sousse,Maisons et Villas,5.525044807036846
289000.0,À Vendre,82.0,1.0,1.0,sousse,Appartements,5.460897842756548
239000.0,À Vendre,80.0,1.0,2.0,tunis,Appartements,5.378397900948138
1050.0,À Louer,100.0,1.0,2.0,tunis,Appartements,3.0211892990699383
950.0,À Louer,80.0,1.0,1.0,tunis,Appartements,2.9777236052888476
950.0,À Louer,110.0,1.0,2.0,ben arous,Appartements,2.9777236052888476
260000.0,À Vendre,250.0,1.0,10.0,tunis,Maisons et Villas,5.414973347970818
310000.0,À Vendre,180.0,2.0,4.0,ben arous,Maisons et Villas,5.491361693834273
500.0,À Louer,100.0,1.0,2.0,tunis,Appartements,2.6989700043360187
340000.0,À Vendre,156.0,2.0,3.0,tunis,Appartements,5.531478917042255
2600.0,À Louer,120.0,1.0,3.0,tunis,Bureaux et Plateaux,3.4149733479708178
2500.0,À Louer,140.0,1.0,4.0,tunis,Bureaux et Plateaux,3.3979400086720375
2500.0,À Louer,200.0,2.0,1.0,tunis,Maisons et Villas,3.3979400086720375
2000000.0,À Vendre,156.0,3.0,3.0,tunis,Appartements,6.301029995663981
1900.0,À Louer,104.0,1.0,2.0,tunis,Appartements,3.278753600952829
1600.0,À Louer,110.0,1.0,2.0,sousse,Appartements,3.2041199826559246
3000.0,À Louer,80.0,2.0,1.0,tunis,Appartements,3.4771212547196626
700.0,À Louer,100.0,1.0,2.0,ariana,Maisons et Villas,2.845098040014257
70000.0,À Vendre,75.0,1.0,2.0,sousse,Appartements,4.845098040014257
2900.0,À Louer,105.0,1.0,2.0,tunis,Appartements,3.462397997898956
780.0,À Louer,70.0,1.0,2.0,tunis,Appartements,2.8920946026904804
800.0,À Louer,70.0,1.0,3.0,tunis,Maisons et Villas,2.9030899869919438
1150.0,À Louer,100.0,1.0,2.0,tunis,Appartements,3.060697840353612
1200.0,À Louer,80.0,1.0,2.0,ariana,Bureaux et Plateaux,3.0791812460476247
